1024 	0.00	0.01	0.00	0.00	0.01	0.83	1.00	1.00	
2048 	0.00	0.00	0.00	0.01	0.81	1.00	1.00	1.00	
3072 	0.02	0.02	0.00	0.62	0.98	1.00	1.00	1.00	
4096 	0.02	0.01	0.01	0.82	1.00	1.00	1.00	1.00	
5120 	0.35	0.34	0.41	0.90	1.00	1.00	1.00	1.00	
6144 	0.56	0.55	0.61	0.95	1.00	1.00	1.00	1.00	
7168 	0.69	0.70	0.74	1.00	1.00	1.00	1.00	1.00	
8192 	0.80	0.81	0.81	1.00	1.00	1.00	1.00	1.00	

